"Google Mobile Украина, язык интерфейса: українська"
"Ключевое слово",URL,Частотность,Динамика,2025-09-16,2025-09-23,2025-09-25,2025-09-30,2025-10-07,2025-10-14,2025-10-21,2025-10-28,2025-11-03,2025-11-04,2025-11-05,2025-11-11,2025-11-28,2026-01-06,2026-01-20,2026-02-13,2026-03-03
"зошит для школи",https://avrora.ua/zoshiti/,10,6,7,8,"Нет данных",7,6,6,6,6,6,6,"Нет данных",5,4,5,5,3,1
"купити зошити дешево",https://avrora.ua/zoshiti/,480,1,5,7,"Нет данных",8,7,11,16,6,6,6,"Нет данных",11,5,5,4,5,4
"зошити купити",https://avrora.ua/zoshiti/,320,3,4,5,"Нет данных",5,12,4,-,5,9,9,"Нет данных",4,4,4,4,1,1
"шкільні зошити купити недорого",https://avrora.ua/zoshiti/,260,7,12,11,"Нет данных",11,13,11,11,11,11,12,"Нет данных",11,5,5,5,4,5
"зошит шкільний",https://avrora.ua/zoshiti/,210,4,5,4,"Нет данных",3,4,3,3,1,1,1,"Нет данных",1,1,2,2,1,1
"купити зошити для школи",https://avrora.ua/zoshiti/,210,0,1,1,"Нет данных",1,3,3,1,1,4,3,"Нет данных",3,1,2,1,1,1
"купити зошити недорого",https://avrora.ua/zoshiti/,170,0,4,9,"Нет данных",11,10,9,12,9,7,7,"Нет данных",8,4,5,5,5,4
"купити зошити для школи недорого",https://avrora.ua/zoshiti/,140,-1,3,6,"Нет данных",4,4,4,5,5,5,5,"Нет данных",4,4,4,6,3,4
"шкільний зошит",https://avrora.ua/zoshiti/,110,3,4,4,"Нет данных",1,4,1,1,1,3,4,"Нет данных",3,3,4,1,3,1
"зошит ціна",https://avrora.ua/zoshiti/,90,4,6,7,"Нет данных",7,7,6,4,6,7,7,"Нет данных",7,4,4,4,4,2
"зошити в школу",https://avrora.ua/zoshiti/,70,2,3,5,"Нет данных",5,7,8,5,7,7,8,"Нет данных",5,4,4,3,2,1
"зошити купити дешево",https://avrora.ua/zoshiti/,50,7,12,12,"Нет данных",12,13,13,15,12,11,10,"Нет данных",10,5,5,5,5,5
"купити шкільні зошити",https://avrora.ua/zoshiti/,40,7,10,11,"Нет данных",-,12,10,6,5,-,5,"Нет данных",5,1,4,4,4,3
"дешеві зошити для школи",https://avrora.ua/zoshiti/,40,4,7,7,"Нет данных",7,9,8,9,8,9,8,"Нет данных",9,4,4,4,3,3
"замовити зошити",https://avrora.ua/zoshiti/,40,4,5,9,"Нет данных",8,9,5,4,6,5,5,"Нет данных",8,4,4,4,1,1
"зошити дешево",https://avrora.ua/zoshiti/,50,8,12,10,"Нет данных",11,12,11,11,9,10,6,"Нет данных",8,3,4,4,4,4
"зошити шкільні купити дешево",https://avrora.ua/zoshiti/,30,10,14,17,"Нет данных",16,18,16,16,12,13,13,"Нет данных",14,6,7,6,5,4
"канцелярія зошити",https://avrora.ua/zoshiti/,20,3,5,7,"Нет данных",8,8,6,11,6,6,6,"Нет данных",6,4,4,3,3,2
"купити зошити до школи",https://avrora.ua/zoshiti/,30,0,1,1,"Нет данных",1,1,4,3,4,-,4,"Нет данных",4,1,1,1,1,1
"купити шкільні зошити дешево",https://avrora.ua/zoshiti/,30,8,12,-,"Нет данных",12,12,10,11,11,12,12,"Нет данных",8,4,6,4,5,4
"упаковка зошитів",https://avrora.ua/zoshiti/,30,3,6,8,"Нет данных",9,9,7,6,5,5,5,"Нет данных",4,4,4,4,3,3
"ціна на зошити",https://avrora.ua/zoshiti/,30,4,6,5,"Нет данных",-,4,3,5,2,7,4,"Нет данных",3,3,4,4,2,2
"дешеві зошити",https://avrora.ua/zoshiti/,20,7,11,8,"Нет данных",5,13,6,9,11,12,12,"Нет данных",11,6,4,4,4,4
"заказати зошити",https://avrora.ua/zoshiti/,30,4,5,5,"Нет данных",6,12,7,6,6,6,5,"Нет данных",4,4,4,4,3,1
"зошити недорого",https://avrora.ua/zoshiti/,30,5,10,9,"Нет данных",10,10,9,10,8,8,7,"Нет данных",7,4,5,5,5,5
"зошити учнівські купити",https://avrora.ua/zoshiti/,20,3,6,6,"Нет данных",11,12,7,11,7,6,7,"Нет данных",5,5,4,5,4,3
"зошити шкільні купити",https://avrora.ua/zoshiti/,20,4,5,6,"Нет данных",6,5,6,7,9,6,10,"Нет данных",5,1,4,3,1,1
"канцелярський зошит",https://avrora.ua/zoshiti/,20,-12,36,52,"Нет данных",53,25,25,66,16,24,20,"Нет данных",26,38,34,36,26,48
"купити дешеві зошити",https://avrora.ua/zoshiti/,20,4,7,8,"Нет данных",9,11,10,13,9,-,9,"Нет данных",8,4,4,4,4,3
"шкільні зошити купити",https://avrora.ua/zoshiti/,20,9,12,-,"Нет данных",12,40,4,6,12,6,13,"Нет данных",4,4,5,5,3,3
"загальні зошити",https://avrora.ua/zoshiti/,10,8,12,8,"Нет данных",11,10,7,14,11,12,11,"Нет данных",6,3,5,3,3,4
"зошити для школи купити",https://avrora.ua/zoshiti/,10,3,4,5,"Нет данных",5,6,6,5,7,7,7,"Нет данных",5,1,4,4,1,1
"зошити купити онлайн",https://avrora.ua/zoshiti/,10,10,11,8,"Нет данных",10,11,10,13,8,11,11,"Нет данных",7,5,5,5,3,1
"канцтовари зошити",https://avrora.ua/zoshiti/,10,5,6,6,"Нет данных",6,6,5,11,5,5,5,"Нет данных",4,1,3,1,1,1
"купити зошити в школу",https://avrora.ua/zoshiti/,10,0,1,1,"Нет данных",1,1,3,3,1,1,1,"Нет данных",1,1,3,1,1,1
"купити зошити онлайн",https://avrora.ua/zoshiti/,10,4,7,7,"Нет данных",4,7,8,6,3,9,3,"Нет данных",4,3,3,2,3,3
"купити зошити шкільні",https://avrora.ua/zoshiti/,10,4,5,10,"Нет данных",5,6,6,7,5,6,6,"Нет данных",5,4,5,4,4,1
"купити упаковку зошитів",https://avrora.ua/zoshiti/,10,5,8,9,"Нет данных",9,9,13,12,10,8,8,"Нет данных",9,3,3,3,3,3
"купити шкільні зошити недорого",https://avrora.ua/zoshiti/,10,96,-,-,"Нет данных",5,10,13,-,5,5,6,"Нет данных",5,4,6,4,4,4
"учнівський зошит",https://avrora.ua/zoshiti/,10,2,5,4,"Нет данных",4,4,4,4,5,5,4,"Нет данных",3,3,4,4,3,3
"зошит 12 аркушів",https://avrora.ua/zoshiti/,210,5,8,2,"Нет данных",1,3,4,2,6,-,4,"Нет данных",2,3,5,4,3,3
"зошити на 12 аркушів",https://avrora.ua/zoshiti/,90,10,13,4,"Нет данных",4,5,4,4,4,5,7,"Нет данных",4,4,4,5,4,3
"зошит на 12 аркушів ціна",https://avrora.ua/zoshiti/,70,2,5,2,"Нет данных",2,4,2,2,2,4,2,"Нет данных",2,4,5,5,4,3
"зошити 12 аркушів купити",https://avrora.ua/zoshiti/,70,9,12,8,"Нет данных",4,9,4,4,4,4,4,"Нет данных",4,4,5,4,2,3
"ціна зошита на 12 аркушів",https://avrora.ua/zoshiti/,30,2,5,3,"Нет данных",3,3,3,3,3,5,5,"Нет данных",3,4,3,5,3,3
"зошит 12 аркушів ціна",https://avrora.ua/zoshiti/,20,4,6,3,"Нет данных",3,4,4,4,3,4,3,"Нет данных",3,3,3,3,3,2
"купити зошити 12 аркушів",https://avrora.ua/zoshiti/,20,9,12,9,"Нет данных",4,10,8,6,4,4,6,"Нет данных",4,4,5,5,4,3
"купити зошити на 12 аркушів",https://avrora.ua/zoshiti/,20,14,16,6,"Нет данных",4,6,7,6,4,6,4,"Нет данных",3,3,4,3,2,2
"зошит 18 аркушів",https://avrora.ua/zoshiti/,110,-5,1,2,"Нет данных",2,3,3,3,4,4,4,"Нет данных",4,4,5,7,5,6
"зошит 18 аркушів ціна",https://avrora.ua/zoshiti/,110,-3,2,3,"Нет данных",3,3,3,3,3,3,3,"Нет данных",3,4,4,5,5,5
"зошит на 18 аркушів ціна",https://avrora.ua/zoshiti-18-arkushiv/,70,-9,1,3,"Нет данных",3,3,3,3,3,3,3,"Нет данных",4,4,4,5,6,10
"купити зошити 18 аркушів",https://avrora.ua/zoshiti/,20,-2,4,4,"Нет данных",4,5,4,5,5,5,5,"Нет данных",5,5,6,4,5,6
"купити зошити на 18 аркушів",https://avrora.ua/zoshiti/,20,-1,4,4,"Нет данных",4,5,4,5,6,8,6,"Нет данных",7,5,7,5,5,5
"ціна зошита на 18 аркушів",https://avrora.ua/zoshiti/,20,-3,2,4,"Нет данных",4,4,4,4,4,4,4,"Нет данных",4,4,4,5,6,5
"зошит 24 аркушів ціна",https://avrora.ua/zoshiti/,170,6,9,7,"Нет данных",4,3,4,4,6,6,6,"Нет данных",3,3,6,4,3,3
"зошит на 24 аркушів ціна",https://avrora.ua/zoshiti/,70,1,4,4,"Нет данных",4,4,4,4,5,5,6,"Нет данных",4,3,6,3,4,3
"зошит 24 аркушів",https://avrora.ua/zoshiti/,20,-1,3,3,"Нет данных",3,5,5,4,4,5,3,"Нет данных",3,5,5,4,5,4
"ціна зошита на 24 аркушів",https://avrora.ua/zoshiti/,20,-1,4,4,"Нет данных",4,3,6,6,6,6,6,"Нет данных",7,5,7,3,6,5
"зошит 36 аркушів ціна",https://avrora.ua/zoshit-v-klitinku-seriya-miks-z-uf-lakom-36-arkushiv-v-asortimenti/,90,0,6,19,"Нет данных",10,8,6,7,6,5,5,"Нет данных",5,5,5,5,5,6
"зошит на 36 аркушів ціна",https://avrora.ua/zoshit-v-klitinku-seriya-miks-z-uf-lakom-36-arkushiv-v-asortimenti/,90,-1,6,13,"Нет данных",9,10,5,6,9,9,9,"Нет данных",5,7,4,4,5,7
"зошити на 36 аркушів",https://avrora.ua/zoshiti/,50,9,14,29,"Нет данных",18,9,11,9,12,12,13,"Нет данных",12,8,6,7,15,5
"купити зошити 36 аркушів",https://avrora.ua/zoshiti/,50,6,11,14,"Нет данных",13,11,6,8,11,6,6,"Нет данных",6,6,6,6,6,5
"ціна зошита на 36 аркушів",https://avrora.ua/zoshit-v-klitinku-seriya-miks-z-uf-lakom-36-arkushiv-v-asortimenti/,10,5,12,-,"Нет данных",12,9,4,7,9,9,9,"Нет данных",9,8,6,6,10,7
"зошит 48 аркушів",https://avrora.ua/zoshit-48-arkushiv-klitinka-tetrada/,170,9,12,-,"Нет данных",-,6,5,5,9,9,9,"Нет данных",11,6,4,7,1,3
"зошит 48 аркушів ціна",https://avrora.ua/zoshiti-48-arkushiv/,170,25,26,11,"Нет данных",10,4,4,7,7,7,7,"Нет данных",7,6,4,5,3,1
"зошити 48 аркушів",https://avrora.ua/zoshiti-48-arkushiv/,170,11,13,12,"Нет данных",11,7,10,9,8,9,8,"Нет данных",9,6,7,8,3,2
"зошит на 48 аркушів ціна",https://avrora.ua/zoshiti-48-arkushiv/,140,99,-,13,"Нет данных",11,6,6,8,7,8,8,"Нет данных",8,7,6,6,3,1
"зошити на 48 аркушів",https://avrora.ua/zoshiti-48-arkushiv/,140,21,22,12,"Нет данных",12,11,12,6,9,7,8,"Нет данных",8,5,7,7,3,1
"зошити на 48 аркушів ціна",https://avrora.ua/zoshiti-48-arkushiv/,140,10,14,11,"Нет данных",11,8,8,9,8,8,8,"Нет данных",8,4,5,8,3,4
"купити зошити на 48 аркушів",https://avrora.ua/zoshit-48-arkushiv-klitinka-tetrada/,50,6,9,14,"Нет данных",12,8,9,8,8,8,9,"Нет данных",15,7,6,6,3,3
"ціна зошита на 48 аркушів",https://avrora.ua/zoshiti-48-arkushiv/,20,8,12,12,"Нет данных",10,7,8,6,6,6,6,"Нет данных",6,6,5,6,5,4
"зошит 60 аркушів ціна",https://avrora.ua/zoshiti-60-arkushiv/,90,3,6,10,"Нет данных",6,7,8,4,-,6,5,"Нет данных",7,3,4,4,5,3
"зошит на 60 аркушів ціна",https://avrora.ua/zoshiti-60-arkushiv/,90,0,5,5,"Нет данных",7,5,5,5,5,5,7,"Нет данных",4,3,4,4,5,5
"зошити на 60 аркушів",https://avrora.ua/zoshiti-60-arkushiv/,50,21,27,9,"Нет данных",9,9,9,4,4,5,8,"Нет данных",5,3,3,4,4,6
"зошити 60 аркушів купити",https://avrora.ua/zoshiti/,40,12,18,10,"Нет данных",9,12,10,9,12,9,9,"Нет данных",9,5,7,5,5,6
"купити зошити на 60 аркушів",https://avrora.ua/zoshiti/,40,15,21,13,"Нет данных",8,12,8,9,9,11,12,"Нет данных",12,4,4,4,4,6
"зошит 60 аркушів",https://avrora.ua/zoshiti/,30,8,14,14,"Нет данных",10,4,4,4,5,4,8,"Нет данных",6,3,4,4,4,6
"ціна зошита на 60 аркушів",https://avrora.ua/zoshiti-60-arkushiv/,10,12,17,8,"Нет данных",9,9,8,8,7,8,7,"Нет данных",7,7,7,7,6,5
"зошит 96 аркушів",https://avrora.ua/zoshiti-96-arkushiv/,320,7,8,9,"Нет данных",9,9,8,2,2,1,1,"Нет данных",1,1,1,1,1,1
"зошит на 96 аркушів",https://avrora.ua/zoshiti-96-arkushiv/,320,9,10,11,"Нет данных",11,10,7,-,2,2,2,"Нет данных",1,1,1,1,1,1
"зошити на 96 аркушів",https://avrora.ua/zoshiti-96-arkushiv/,320,9,10,9,"Нет данных",12,10,9,3,2,3,2,"Нет данных",1,1,1,1,1,1
"зошит 96 аркушів ціна",https://avrora.ua/zoshiti-96-arkushiv/,210,11,12,10,"Нет данных",9,9,8,2,2,2,2,"Нет данных",2,1,2,2,1,1
"зошит на 96 аркушів ціна",https://avrora.ua/zoshiti-96-arkushiv/,210,9,10,10,"Нет данных",9,8,6,2,3,2,2,"Нет данных",2,1,1,1,1,1
"купити зошит на 96 аркушів",https://avrora.ua/zoshiti-96-arkushiv/,90,9,10,10,"Нет данных",11,9,9,2,2,2,2,"Нет данных",1,1,1,3,1,1
"зошити 96 аркушів купити",https://avrora.ua/zoshiti-96-arkushiv/,40,10,11,13,"Нет данных",12,9,8,3,2,3,2,"Нет данных",1,1,2,1,1,1
"купити зошити 96 аркушів",https://avrora.ua/zoshiti-96-arkushiv/,40,9,11,11,"Нет данных",13,8,8,3,2,2,2,"Нет данных",1,1,1,3,4,2
"зошит 96",https://avrora.ua/zoshiti-96-arkushiv/,30,6,7,-,"Нет данных",10,11,10,1,2,2,2,"Нет данных",1,1,1,1,1,1
"зошит загальний 96 аркушів",https://avrora.ua/zoshiti-96-arkushiv/,20,4,5,15,"Нет данных",59,16,12,3,6,6,6,"Нет данных",2,3,3,3,1,1
"ціна зошита на 96 аркушів",https://avrora.ua/zoshiti-96-arkushiv/,20,10,11,11,"Нет данных",9,9,9,4,4,3,3,"Нет данных",2,1,2,1,1,1
"зошит на 96 аркушів купити",https://avrora.ua/zoshiti-96-arkushiv/,10,9,10,12,"Нет данных",9,-,8,2,2,2,2,"Нет данных",1,1,1,1,1,1
"ціна зошита 96 аркушів",https://avrora.ua/zoshiti-96-arkushiv/,10,15,16,8,"Нет данных",9,8,8,3,3,3,3,"Нет данных",2,2,2,2,1,1
"зошит 96 аркушів ціна купити",https://avrora.ua/zoshiti-96-arkushiv/,0,10,11,10,"Нет данных",10,8,8,2,2,3,2,"Нет данных",2,1,1,2,1,1
"бріск зошити",https://avrora.ua/shkilne-priladdya-brendu-brisk/,20,-11,6,6,"Нет данных",6,7,5,6,8,8,8,"Нет данных",10,10,9,8,14,17
"зошити бріск",https://avrora.ua/zoshit-shkilniy-v-liniyku-brisk-24-arkusha/,20,-9,6,6,"Нет данных",5,7,7,7,8,9,9,"Нет данных",9,11,7,7,14,15
"зошити в клітинку",https://avrora.ua/zoshiti/,180,1,5,1,"Нет данных",1,1,1,1,1,1,1,"Нет данных",4,3,3,3,3,4
"зошит в клітинку",https://avrora.ua/zoshiti/,120,1,5,7,"Нет данных",8,8,6,6,6,6,6,"Нет данных",6,5,5,5,5,4
"зошит у клітинку",https://avrora.ua/zoshiti/,210,3,8,7,"Нет данных",7,8,7,7,4,6,6,"Нет данных",4,5,5,7,9,5
"купити зошит в клітинку",https://avrora.ua/zoshiti/,210,10,13,5,"Нет данных",7,4,4,4,5,5,5,"Нет данных",7,5,5,5,3,3
"зошит в клітинку ціна",https://avrora.ua/zoshiti/,10,2,5,5,"Нет данных",5,5,5,4,5,4,4,"Нет данных",5,4,4,4,4,3
"зошити в клітинку купити",https://avrora.ua/zoshiti/,10,2,5,4,"Нет данных",5,3,1,1,5,3,4,"Нет данных",5,5,5,5,4,3
"зошит в клітинку 12 аркушів ціна",https://avrora.ua/zoshiti/,210,6,8,2,"Нет данных",2,2,2,2,3,3,2,"Нет данных",3,2,3,3,2,2
"зошит в клітинку 12 аркушів",https://avrora.ua/zoshiti/,70,6,9,3,"Нет данных",1,4,4,4,4,5,5,"Нет данных",3,3,5,4,3,3
"зошити в клітинку 18 аркушів",https://avrora.ua/zoshiti/,170,-3,3,3,"Нет данных",4,3,5,4,3,3,3,"Нет данных",4,4,4,7,4,6
"зошит в клітинку 18 аркушів ціна",https://avrora.ua/zoshiti/,140,-6,1,2,"Нет данных",2,2,2,2,2,3,3,"Нет данных",3,3,4,7,7,7
"зошит в клітинку 24 аркушів ціна",https://avrora.ua/zoshiti/,210,1,4,4,"Нет данных",3,6,4,3,4,4,4,"Нет данных",3,3,3,3,5,3
"зошит в клітинку 36 аркушів ціна",https://avrora.ua/zoshit-v-klitinku-seriya-miks-z-uf-lakom-36-arkushiv-v-asortimenti/,50,8,13,15,"Нет данных",14,9,10,8,10,9,9,"Нет данных",8,8,7,5,6,5
"зошит в клітинку 48 аркушів ціна",https://avrora.ua/zoshiti-48-arkushiv/,170,5,6,11,"Нет данных",7,7,7,8,8,11,11,"Нет данных",7,4,4,7,3,1
"зошит в клітинку 60 аркушів ціна",https://avrora.ua/zoshiti/,40,2,7,5,"Нет данных",57,16,5,4,-,5,11,"Нет данных",3,4,6,4,3,5
"зошит в клітинку 96 аркушів ціна",https://avrora.ua/zoshiti-96-arkushiv/,110,9,10,9,"Нет данных",9,9,9,2,4,3,3,"Нет данных",2,1,1,1,1,1
"зошит в клітинку 96 аркушів",https://avrora.ua/zoshiti-96-arkushiv/,30,6,8,9,"Нет данных",11,8,8,2,4,3,3,"Нет данных",1,1,2,2,1,2
"зошит на 96 аркушів клітинку",https://avrora.ua/zoshiti-96-arkushiv/,10,7,9,9,"Нет данных",10,9,8,3,4,3,3,"Нет данных",1,2,2,2,1,2
"зошит в косу лінію",https://avrora.ua/zoshiti-v-kosu-liniyu/,50,0,1,3,"Нет данных",3,1,1,1,1,1,1,"Нет данных",1,1,3,3,1,1
"зошит в косу лінію з допоміжною лінією",https://avrora.ua/zoshiti-v-kosu-liniyu/,590,-12,2,22,"Нет данных",23,13,13,12,21,24,23,"Нет данных",24,14,8,8,27,14
"зошит в косу лінію без допоміжної лінії",https://avrora.ua/zoshiti-v-kosu-liniyu/,480,21,30,30,"Нет данных",30,27,27,18,25,26,26,"Нет данных",14,12,15,8,12,9
"зошит в косу лінію з додатковою лінією",https://avrora.ua/zoshiti-v-kosu-liniyu/,140,1,9,10,"Нет данных",8,10,9,9,8,9,9,"Нет данных",7,11,12,5,13,8
"зошит у косу лінію",https://avrora.ua/zoshiti-v-kosu-liniyu/,110,0,1,3,"Нет данных",3,1,1,1,1,1,1,"Нет данных",1,2,3,3,1,1
"зошит коса лінія",https://avrora.ua/zoshiti-v-kosu-liniyu/,90,2,3,3,"Нет данных",3,1,1,1,2,-,2,"Нет данных",1,3,3,3,3,1
"коса лінія зошит",https://avrora.ua/zoshiti-v-kosu-liniyu/,70,4,5,3,"Нет данных",3,1,1,1,2,2,2,"Нет данных",2,5,6,3,3,1
"зошит в косу лінію без допоміжної",https://avrora.ua/zoshiti-v-kosu-liniyu/,70,22,30,29,"Нет данных",29,-,28,-,26,30,30,"Нет данных",27,12,15,15,13,8
"купити зошит в косу лінію",https://avrora.ua/zoshiti-v-kosu-liniyu/,90,5,8,7,"Нет данных",7,6,5,3,3,3,3,"Нет данных",3,3,6,4,3,3
"зошит в косу лінію без допоміжної купити",https://avrora.ua/zoshiti-v-kosu-liniyu/,30,12,21,25,"Нет данных",28,22,22,-,24,25,23,"Нет данных",17,22,13,7,13,9
"зошит в косу лінію купити",https://avrora.ua/zoshiti-v-kosu-liniyu/,20,-2,1,6,"Нет данных",7,2,2,2,2,3,3,"Нет данных",2,3,4,3,4,3
"зошити в косу з додатковою лінією",https://avrora.ua/zoshiti-v-kosu-liniyu/,20,-1,8,10,"Нет данных",9,8,6,5,-,5,5,"Нет данных",7,8,10,10,11,9
"зошити в косу лінію купити",https://avrora.ua/zoshiti-v-kosu-liniyu/,20,6,9,8,"Нет данных",7,4,4,4,4,4,4,"Нет данных",4,5,5,6,7,3
"зошит в лінійку",https://avrora.ua/zoshiti/,210,-2,3,4,"Нет данных",5,7,6,6,4,6,6,"Нет данных",3,7,6,5,4,5
"зошит в косу лінійку",https://avrora.ua/zoshiti-v-kosu-liniyu/,70,3,5,4,"Нет данных",5,1,1,1,1,4,4,"Нет данных",1,6,7,3,4,2
"зошит у лінійку",https://avrora.ua/zoshiti/,70,2,7,4,"Нет данных",4,4,4,4,4,4,4,"Нет данных",4,20,11,9,8,5
"зошит у косу лінійку",https://avrora.ua/zoshiti-v-kosu-liniyu/,10,7,9,6,"Нет данных",4,3,1,-,3,3,3,"Нет данных",3,3,5,6,4,2
"зошит в лінію",https://avrora.ua/zoshiti-v-liniyu/,590,1,6,6,"Нет данных",6,6,5,5,3,4,4,"Нет данных",4,4,7,7,8,5
"зошит з допоміжною лінією",https://avrora.ua/zoshiti-v-kosu-liniyu/,50,71,-,24,"Нет данных",26,20,22,23,24,21,22,"Нет данных",26,26,23,4,34,29
"зошит в похилу лінію",https://avrora.ua/zoshiti-v-kosu-liniyu/,10,95,-,37,"Нет данных",38,8,6,5,8,8,8,"Нет данных",6,10,7,8,5,5
"нотний зошит",https://avrora.ua/zoshiti-dlya-not/,880,20,23,6,"Нет данных",10,3,4,1,1,4,-,"Нет данных",4,1,5,4,4,3
"зошит для нот",https://avrora.ua/zoshiti-dlya-not/,320,8,14,12,"Нет данных",13,8,11,2,10,17,15,"Нет данных",-,11,11,7,7,6
"зошити однотонні",https://avrora.ua/zoshiti/,70,20,25,13,"Нет данных",15,13,12,13,13,13,13,"Нет данных",6,8,7,7,6,5
"нотний зошит купити",https://avrora.ua/zoshiti-dlya-not/,70,9,14,14,"Нет данных",-,8,10,3,5,5,5,"Нет данных",6,3,7,3,5,5
"нотні зошити",https://avrora.ua/zoshiti-dlya-not/,70,75,-,70,"Нет данных",65,69,56,23,47,43,76,"Нет данных",83,25,25,28,28,25
"зошит для нот купити",https://avrora.ua/zoshiti-dlya-not/,40,30,38,15,"Нет данных",15,8,14,4,8,16,16,"Нет данных",11,8,11,6,8,8
