Keyword,URL,2025-09-16,2025-09-23,2025-09-30,2025-10-07,2025-10-14,2025-10-21,2025-10-28,2025-11-03,2025-11-04,2025-11-11,2025-11-28,2026-01-06,2026-01-20,2026-02-13,2026-03-03
купити зошити до школи,https://avrora.ua/zoshiti/,1,1,1,1,4,3,4,-,4,4,1,1,1,1,1
купити шкільні зошити дешево,https://avrora.ua/zoshiti/,12,-,12,12,10,11,11,12,12,8,4,6,4,5,4
упаковка зошитів,https://avrora.ua/zoshiti/,6,8,9,9,7,6,5,5,5,4,4,4,4,3,3
ціна на зошити,https://avrora.ua/zoshiti/,6,5,-,4,3,5,2,7,4,3,3,4,4,2,2
дешеві зошити,https://avrora.ua/zoshiti/,11,8,5,13,6,9,11,12,12,11,6,4,4,4,4
заказати зошити,https://avrora.ua/zoshiti/,5,5,6,12,7,6,6,6,5,4,4,4,4,3,1
зошити недорого,https://avrora.ua/zoshiti/,10,9,10,10,9,10,8,8,7,7,4,5,5,5,5
зошити учнівські купити,https://avrora.ua/zoshiti/,6,6,11,12,7,11,7,6,7,5,5,4,5,4,3
зошити шкільні купити,https://avrora.ua/zoshiti/,5,6,6,5,6,7,9,6,10,5,1,4,3,1,1
канцелярський зошит,https://avrora.ua/zoshiti/,36,52,53,25,25,66,16,24,20,26,38,34,36,26,48
купити дешеві зошити,https://avrora.ua/zoshiti/,7,8,9,11,10,13,9,-,9,8,4,4,4,4,3
шкільні зошити купити,https://avrora.ua/zoshiti/,12,-,12,40,4,6,12,6,13,4,4,5,5,3,3
загальні зошити,https://avrora.ua/zoshiti/,12,8,11,10,7,14,11,12,11,6,3,5,3,3,4
зошити для школи купити,https://avrora.ua/zoshiti/,4,5,5,6,6,5,7,7,7,5,1,4,4,1,1
зошити купити онлайн,https://avrora.ua/zoshiti/,11,8,10,11,10,13,8,11,11,7,5,5,5,3,1
канцтовари зошити,https://avrora.ua/zoshiti/,6,6,6,6,5,11,5,5,5,4,1,3,1,1,1
купити зошити в школу,https://avrora.ua/zoshiti/,1,1,1,1,3,3,1,1,1,1,1,3,1,1,1
купити зошити онлайн,https://avrora.ua/zoshiti/,7,7,4,7,8,6,3,9,3,4,3,3,2,3,3
купити зошити шкільні,https://avrora.ua/zoshiti/,5,10,5,6,6,7,5,6,6,5,4,5,4,4,1
купити упаковку зошитів,https://avrora.ua/zoshiti/,8,9,9,9,13,12,10,8,8,9,3,3,3,3,3
купити шкільні зошити недорого,https://avrora.ua/zoshiti/,-,-,5,10,13,-,5,5,6,5,4,6,4,4,4
учнівський зошит,https://avrora.ua/zoshiti/,5,4,4,4,4,4,5,5,4,3,3,4,4,3,3
зошит 12 аркушів,https://avrora.ua/zoshiti/,8,2,1,3,4,2,6,-,4,2,3,5,4,3,3
зошити на 12 аркушів,https://avrora.ua/zoshiti/,13,4,4,5,4,4,4,5,7,4,4,4,5,4,3
зошит на 12 аркушів ціна,https://avrora.ua/zoshiti/,5,2,2,4,2,2,2,4,2,2,4,5,5,4,3
зошити 12 аркушів купити,https://avrora.ua/zoshiti/,12,8,4,9,4,4,4,4,4,4,4,5,4,2,3
ціна зошита на 12 аркушів,https://avrora.ua/zoshiti/,5,3,3,3,3,3,3,5,5,3,4,3,5,3,3
зошит 12 аркушів ціна,https://avrora.ua/zoshiti/,6,3,3,4,4,4,3,4,3,3,3,3,3,3,2
купити зошити 12 аркушів,https://avrora.ua/zoshiti/,12,9,4,10,8,6,4,4,6,4,4,5,5,4,3
купити зошити на 12 аркушів,https://avrora.ua/zoshiti/,16,6,4,6,7,6,4,6,4,3,3,4,3,2,2
зошит 18 аркушів,https://avrora.ua/zoshiti/,1,2,2,3,3,3,4,4,4,4,4,5,7,5,6
зошит 18 аркушів ціна,https://avrora.ua/zoshiti/,2,3,3,3,3,3,3,3,3,3,4,4,5,5,5
зошит на 18 аркушів ціна,https://avrora.ua/zoshiti-18-arkushiv/,1,3,3,3,3,3,3,3,3,4,4,4,5,6,10
купити зошити 18 аркушів,https://avrora.ua/zoshiti/,4,4,4,5,4,5,5,5,5,5,5,6,4,5,6
купити зошити на 18 аркушів,https://avrora.ua/zoshiti/,4,4,4,5,4,5,6,8,6,7,5,7,5,5,5
ціна зошита на 18 аркушів,https://avrora.ua/zoshiti/,2,4,4,4,4,4,4,4,4,4,4,4,5,6,5
зошит 24 аркушів ціна,https://avrora.ua/zoshiti/,9,7,4,3,4,4,6,6,6,3,3,6,4,3,3
зошит на 24 аркушів ціна,https://avrora.ua/zoshiti/,4,4,4,4,4,4,5,5,6,4,3,6,3,4,3
зошит 24 аркушів,https://avrora.ua/zoshiti/,3,3,3,5,5,4,4,5,3,3,5,5,4,5,4
ціна зошита на 24 аркушів,https://avrora.ua/zoshiti/,4,4,4,3,6,6,6,6,6,7,5,7,3,6,5
зошит 36 аркушів ціна,https://avrora.ua/zoshit-v-klitinku-seriya-miks-z-uf-lakom-36-arkushiv-v-asortimenti/,6,19,10,8,6,7,6,5,5,5,5,5,5,5,6
зошит на 36 аркушів ціна,https://avrora.ua/zoshit-v-klitinku-seriya-miks-z-uf-lakom-36-arkushiv-v-asortimenti/,6,13,9,10,5,6,9,9,9,5,7,4,4,5,7
зошити на 36 аркушів,https://avrora.ua/zoshiti/,14,29,18,9,11,9,12,12,13,12,8,6,7,15,5
купити зошити 36 аркушів,https://avrora.ua/zoshiti/,11,14,13,11,6,8,11,6,6,6,6,6,6,6,5
ціна зошита на 36 аркушів,https://avrora.ua/zoshit-v-klitinku-seriya-miks-z-uf-lakom-36-arkushiv-v-asortimenti/,12,-,12,9,4,7,9,9,9,9,8,6,6,10,7
зошит 48 аркушів,https://avrora.ua/zoshit-48-arkushiv-klitinka-tetrada/,12,-,-,6,5,5,9,9,9,11,6,4,7,1,3
зошит 48 аркушів ціна,https://avrora.ua/zoshiti-48-arkushiv/,26,11,10,4,4,7,7,7,7,7,6,4,5,3,1
зошити 48 аркушів,https://avrora.ua/zoshiti-48-arkushiv/,13,12,11,7,10,9,8,9,8,9,6,7,8,3,2
зошит на 48 аркушів ціна,https://avrora.ua/zoshiti-48-arkushiv/,-,13,11,6,6,8,7,8,8,8,7,6,6,3,1
зошити на 48 аркушів,https://avrora.ua/zoshiti-48-arkushiv/,22,12,12,11,12,6,9,7,8,8,5,7,7,3,1
зошити на 48 аркушів ціна,https://avrora.ua/zoshiti-48-arkushiv/,14,11,11,8,8,9,8,8,8,8,4,5,8,3,4
купити зошити на 48 аркушів,https://avrora.ua/zoshit-48-arkushiv-klitinka-tetrada/,9,14,12,8,9,8,8,8,9,15,7,6,6,3,3
ціна зошита на 48 аркушів,https://avrora.ua/zoshiti-48-arkushiv/,12,12,10,7,8,6,6,6,6,6,6,5,6,5,4
зошит 60 аркушів ціна,https://avrora.ua/zoshiti-60-arkushiv/,6,10,6,7,8,4,-,6,5,7,3,4,4,5,3
зошит на 60 аркушів ціна,https://avrora.ua/zoshiti-60-arkushiv/,5,5,7,5,5,5,5,5,7,4,3,4,4,5,5
зошити на 60 аркушів,https://avrora.ua/zoshiti-60-arkushiv/,27,9,9,9,9,4,4,5,8,5,3,3,4,4,6
зошити 60 аркушів купити,https://avrora.ua/zoshiti/,18,10,9,12,10,9,12,9,9,9,5,7,5,5,6
купити зошити на 60 аркушів,https://avrora.ua/zoshiti/,21,13,8,12,8,9,9,11,12,12,4,4,4,4,6
зошит 60 аркушів,https://avrora.ua/zoshiti/,14,14,10,4,4,4,5,4,8,6,3,4,4,4,6
ціна зошита на 60 аркушів,https://avrora.ua/zoshiti-60-arkushiv/,17,8,9,9,8,8,7,8,7,7,7,7,7,6,5
зошит 96 аркушів,https://avrora.ua/zoshiti-96-arkushiv/,8,9,9,9,8,2,2,1,1,1,1,1,1,1,1
зошит на 96 аркушів,https://avrora.ua/zoshiti-96-arkushiv/,10,11,11,10,7,-,2,2,2,1,1,1,1,1,1
зошити на 96 аркушів,https://avrora.ua/zoshiti-96-arkushiv/,10,9,12,10,9,3,2,3,2,1,1,1,1,1,1
зошит 96 аркушів ціна,https://avrora.ua/zoshiti-96-arkushiv/,12,10,9,9,8,2,2,2,2,2,1,2,2,1,1
зошит на 96 аркушів ціна,https://avrora.ua/zoshiti-96-arkushiv/,10,10,9,8,6,2,3,2,2,2,1,1,1,1,1
купити зошит на 96 аркушів,https://avrora.ua/zoshiti-96-arkushiv/,10,10,11,9,9,2,2,2,2,1,1,1,3,1,1
зошити 96 аркушів купити,https://avrora.ua/zoshiti-96-arkushiv/,11,13,12,9,8,3,2,3,2,1,1,2,1,1,1
купити зошити 96 аркушів,https://avrora.ua/zoshiti-96-arkushiv/,11,11,13,8,8,3,2,2,2,1,1,1,3,4,2
зошит 96,https://avrora.ua/zoshiti-96-arkushiv/,7,-,10,11,10,1,2,2,2,1,1,1,1,1,1
зошит загальний 96 аркушів,https://avrora.ua/zoshiti-96-arkushiv/,5,15,59,16,12,3,6,6,6,2,3,3,3,1,1
ціна зошита на 96 аркушів,https://avrora.ua/zoshiti-96-arkushiv/,11,11,9,9,9,4,4,3,3,2,1,2,1,1,1
зошит на 96 аркушів купити,https://avrora.ua/zoshiti-96-arkushiv/,10,12,9,-,8,2,2,2,2,1,1,1,1,1,1
ціна зошита 96 аркушів,https://avrora.ua/zoshiti-96-arkushiv/,16,8,9,8,8,3,3,3,3,2,2,2,2,1,1
зошит 96 аркушів ціна купити,https://avrora.ua/zoshiti-96-arkushiv/,11,10,10,8,8,2,2,3,2,2,1,1,2,1,1
бріск зошити,https://avrora.ua/shkilne-priladdya-brendu-brisk/,6,6,6,7,5,6,8,8,8,10,10,9,8,14,17
зошити бріск,https://avrora.ua/zoshit-shkilniy-v-liniyku-brisk-24-arkusha/,6,6,5,7,7,7,8,9,9,9,11,7,7,14,15
зошити в клітинку,https://avrora.ua/zoshiti/,5,1,1,1,1,1,1,1,1,4,3,3,3,3,4
зошит в клітинку,https://avrora.ua/zoshiti/,5,7,8,8,6,6,6,6,6,6,5,5,5,5,4
зошит у клітинку,https://avrora.ua/zoshiti/,8,7,7,8,7,7,4,6,6,4,5,5,7,9,5
купити зошит в клітинку,https://avrora.ua/zoshiti/,13,5,7,4,4,4,5,5,5,7,5,5,5,3,3
зошит в клітинку ціна,https://avrora.ua/zoshiti/,5,5,5,5,5,4,5,4,4,5,4,4,4,4,3
зошити в клітинку купити,https://avrora.ua/zoshiti/,5,4,5,3,1,1,5,3,4,5,5,5,5,4,3
зошит в клітинку 12 аркушів ціна,https://avrora.ua/zoshiti/,8,2,2,2,2,2,3,3,2,3,2,3,3,2,2
зошит в клітинку 12 аркушів,https://avrora.ua/zoshiti/,9,3,1,4,4,4,4,5,5,3,3,5,4,3,3
зошити в клітинку 18 аркушів,https://avrora.ua/zoshiti/,3,3,4,3,5,4,3,3,3,4,4,4,7,4,6
зошит в клітинку 18 аркушів ціна,https://avrora.ua/zoshiti/,1,2,2,2,2,2,2,3,3,3,3,4,7,7,7
зошит в клітинку 24 аркушів ціна,https://avrora.ua/zoshiti/,4,4,3,6,4,3,4,4,4,3,3,3,3,5,3
зошит в клітинку 36 аркушів ціна,https://avrora.ua/zoshit-v-klitinku-seriya-miks-z-uf-lakom-36-arkushiv-v-asortimenti/,13,15,14,9,10,8,10,9,9,8,8,7,5,6,5
зошит в клітинку 48 аркушів ціна,https://avrora.ua/zoshiti-48-arkushiv/,6,11,7,7,7,8,8,11,11,7,4,4,7,3,1
зошит в клітинку 60 аркушів ціна,https://avrora.ua/zoshiti/,7,5,57,16,5,4,-,5,11,3,4,6,4,3,5
зошит в клітинку 96 аркушів ціна,https://avrora.ua/zoshiti-96-arkushiv/,10,9,9,9,9,2,4,3,3,2,1,1,1,1,1
зошит в клітинку 96 аркушів,https://avrora.ua/zoshiti-96-arkushiv/,8,9,11,8,8,2,4,3,3,1,1,2,2,1,2
зошит на 96 аркушів клітинку,https://avrora.ua/zoshiti-96-arkushiv/,9,9,10,9,8,3,4,3,3,1,2,2,2,1,2
зошит в косу лінію,https://avrora.ua/zoshiti-v-kosu-liniyu/,1,3,3,1,1,1,1,1,1,1,1,3,3,1,1
зошит в косу лінію з допоміжною лінією,https://avrora.ua/zoshiti-v-kosu-liniyu/,2,22,23,13,13,12,21,24,23,24,14,8,8,27,14
зошит в косу лінію без допоміжної лінії,https://avrora.ua/zoshiti-v-kosu-liniyu/,30,30,30,27,27,18,25,26,26,14,12,15,8,12,9
зошит в косу лінію з додатковою лінією,https://avrora.ua/zoshiti-v-kosu-liniyu/,9,10,8,10,9,9,8,9,9,7,11,12,5,13,8
зошит у косу лінію,https://avrora.ua/zoshiti-v-kosu-liniyu/,1,3,3,1,1,1,1,1,1,1,2,3,3,1,1
зошит коса лінія,https://avrora.ua/zoshiti-v-kosu-liniyu/,3,3,3,1,1,1,2,-,2,1,3,3,3,3,1
коса лінія зошит,https://avrora.ua/zoshiti-v-kosu-liniyu/,5,3,3,1,1,1,2,2,2,2,5,6,3,3,1
зошит в косу лінію без допоміжної,https://avrora.ua/zoshiti-v-kosu-liniyu/,30,29,29,-,28,-,26,30,30,27,12,15,15,13,8
купити зошит в косу лінію,https://avrora.ua/zoshiti-v-kosu-liniyu/,8,7,7,6,5,3,3,3,3,3,3,6,4,3,3
зошит в косу лінію без допоміжної купити,https://avrora.ua/zoshiti-v-kosu-liniyu/,21,25,28,22,22,-,24,25,23,17,22,13,7,13,9
зошит в косу лінію купити,https://avrora.ua/zoshiti-v-kosu-liniyu/,1,6,7,2,2,2,2,3,3,2,3,4,3,4,3
зошити в косу з додатковою лінією,https://avrora.ua/zoshiti-v-kosu-liniyu/,8,10,9,8,6,5,-,5,5,7,8,10,10,11,9
зошити в косу лінію купити,https://avrora.ua/zoshiti-v-kosu-liniyu/,9,8,7,4,4,4,4,4,4,4,5,5,6,7,3
зошит в лінійку,https://avrora.ua/zoshiti/,3,4,5,7,6,6,4,6,6,3,7,6,5,4,5
зошит в косу лінійку,https://avrora.ua/zoshiti-v-kosu-liniyu/,5,4,5,1,1,1,1,4,4,1,6,7,3,4,2
зошит у лінійку,https://avrora.ua/zoshiti/,7,4,4,4,4,4,4,4,4,4,20,11,9,8,5
зошит у косу лінійку,https://avrora.ua/zoshiti-v-kosu-liniyu/,9,6,4,3,1,-,3,3,3,3,3,5,6,4,2
зошит в лінію,https://avrora.ua/zoshiti-v-liniyu/,6,6,6,6,5,5,3,4,4,4,4,7,7,8,5
зошит з допоміжною лінією,https://avrora.ua/zoshiti-v-kosu-liniyu/,-,24,26,20,22,23,24,21,22,26,26,23,4,34,29
зошит в похилу лінію,https://avrora.ua/zoshiti-v-kosu-liniyu/,-,37,38,8,6,5,8,8,8,6,10,7,8,5,5
нотний зошит,https://avrora.ua/zoshiti-dlya-not/,23,6,10,3,4,1,1,4,-,4,1,5,4,4,3
зошит для нот,https://avrora.ua/zoshiti-dlya-not/,14,12,13,8,11,2,10,17,15,-,11,11,7,7,6
зошити однотонні,https://avrora.ua/zoshiti/,25,13,15,13,12,13,13,13,13,6,8,7,7,6,5
нотний зошит купити,https://avrora.ua/zoshiti-dlya-not/,14,14,-,8,10,3,5,5,5,6,3,7,3,5,5
нотні зошити,https://avrora.ua/zoshiti-dlya-not/,-,70,65,69,56,23,47,43,76,83,25,25,28,28,25
зошит для нот купити,https://avrora.ua/zoshiti-dlya-not/,38,15,15,8,14,4,8,16,16,11,8,11,6,8,8
тетрада зошити,https://avrora.ua/zoshiti-tetrada/,9,5,6,5,6,6,6,6,6,6,6,7,9,9,9
зошит тетрада,https://avrora.ua/zoshiti-tetrada/,20,11,11,5,5,10,8,7,7,8,6,7,7,6,6
зошити тетрада,https://avrora.ua/zoshiti-tetrada/,12,6,7,7,7,6,7,7,7,7,7,9,5,7,7
купити зошити тетрада,https://avrora.ua/zoshiti-tetrada/,13,6,6,6,6,7,6,7,7,7,4,10,5,5,5
предметні зошити kite,https://avrora.ua/zoshiti-kite/,-,-,-,-,-,-,16,18,17,17,17,14,-,21,22
зошити кайт,https://avrora.ua/zoshiti-kite/,27,25,15,15,15,14,14,14,-,16,6,8,16,14,6
зошити kite,https://avrora.ua/zoshiti-kite/,13,17,13,16,20,16,16,19,17,18,13,15,17,17,19
kite зошити,https://avrora.ua/zoshiti-kite/,15,23,16,23,22,16,14,14,14,15,-,15,17,19,14
зошити kite предметні,https://avrora.ua/zoshiti-kite/,-,-,18,17,16,17,15,20,22,-,-,15,26,24,21
зошит kite,https://avrora.ua/zoshiti-kite/,45,20,-,21,-,17,18,11,11,12,12,10,38,17,17
зошити кіте,https://avrora.ua/zoshiti-kite/,10,-,14,7,5,6,8,8,7,8,5,6,12,7,4
патріотичні зошити kite,https://avrora.ua/zoshiti-kite/,22,28,32,28,32,-,28,31,29,30,30,27,-,31,21
зошити yes,https://avrora.ua/zoshiti-yes/,7,4,5,9,5,5,7,8,6,4,4,6,6,5,12
предметні зошити yes,https://avrora.ua/zoshiti/,30,41,25,23,18,36,34,40,31,15,22,28,20,50,50
yes зошити,https://avrora.ua/zoshiti-yes/,10,5,4,6,5,6,6,11,11,5,5,5,10,12,14
зошити yes купити,https://avrora.ua/zoshiti-yes/,14,5,5,6,5,8,11,7,8,6,7,7,8,15,12
щоденник шкільний,https://avrora.ua/shkilni-schodenniki/,7,7,6,7,8,9,7,9,12,7,8,8,8,3,1
шкільні щоденники,https://avrora.ua/shkilni-schodenniki/,6,9,7,7,6,8,10,10,8,8,5,9,8,8,6
купити щоденник шкільний,https://avrora.ua/shkilni-schodenniki/,3,7,7,7,7,7,7,8,8,7,7,7,7,8,3
купити щоденник шкільний для хлопчика,https://avrora.ua/shkilni-schodenniki/,20,16,17,17,16,14,13,12,12,10,9,11,9,11,7
купити шкільний щоденник,https://avrora.ua/shkilni-schodenniki/,4,7,7,8,8,10,8,7,8,5,8,8,7,8,3
купить шкільний щоденник,https://avrora.ua/shkilni-schodenniki/,10,9,7,8,4,7,8,8,8,8,9,10,10,10,10
щоденник шкільний купити,https://avrora.ua/shkilni-schodenniki/,5,6,7,4,4,7,6,3,5,3,5,7,6,8,4
шкільний щоденник купити,https://avrora.ua/shkilni-schodenniki/,5,7,7,8,8,10,8,8,8,7,9,9,8,12,9
щоденник купити шкільний,https://avrora.ua/shkilni-schodenniki/,7,7,7,8,8,8,7,8,8,7,8,7,7,7,3
щоденник шкільний білий,https://avrora.ua/kanctovari-knigi-hobi/,7,7,7,8,7,6,56,62,35,39,51,49,48,62,52
щоденник шкільний мандарин,https://avrora.ua/schodennik-shkilniy-disney-v-asortimenti-165h205-sm/,5,6,8,7,7,6,7,7,7,7,6,8,8,63,41
щоденник шкільний ціна,https://avrora.ua/shkilni-schodenniki/,8,11,36,9,12,8,8,12,13,13,13,14,12,16,8
обкладинки для зошитів,https://avrora.ua/obkladinki-dlya-zoshitiv-ta-pidruchnikiv/,2,2,1,1,1,1,1,1,1,1,2,3,3,3,4
обкладинка для зошита,https://avrora.ua/obkladinki-dlya-zoshitiv-ta-pidruchnikiv/,4,7,7,5,5,5,5,7,7,8,4,7,8,8,11
обкладинки на зошити,https://avrora.ua/obkladinki-dlya-zoshitiv-ta-pidruchnikiv/,11,3,6,2,1,1,3,3,2,3,4,3,3,2,12
обкладинки на зошит,https://avrora.ua/obkladinki-dlya-zoshitiv-ta-pidruchnikiv/,6,5,9,2,2,3,3,3,2,6,3,3,3,4,11
обкладинки для підручників,https://avrora.ua/obkladinki-dlya-zoshitiv-ta-pidruchnikiv/,1,4,3,1,2,4,4,4,4,4,10,10,9,2,13
обгортки для зошитів,https://avrora.ua/obkladinki-dlya-zoshitiv-ta-pidruchnikiv/,4,8,8,4,5,4,4,5,4,5,2,7,5,4,13
обгортки на зошити,https://avrora.ua/obkladinki-dlya-zoshitiv-ta-pidruchnikiv/,11,10,10,4,3,4,11,7,7,5,3,5,4,3,12
обкладинки на підручники,https://avrora.ua/obkladinki-dlya-zoshitiv-ta-pidruchnikiv/,1,1,4,1,1,1,3,3,3,2,2,9,9,10,16
обкладинка зошита,https://avrora.ua/obkladinki-dlya-zoshitiv-ta-pidruchnikiv/,14,9,7,11,11,10,12,13,10,12,12,13,12,12,12
купити обкладинки на зошити,https://avrora.ua/obkladinki-dlya-zoshitiv-ta-pidruchnikiv/,10,4,3,1,1,1,3,-,2,3,4,5,4,4,15
пенали шкільні,https://avrora.ua/penali/,8,9,8,9,9,9,8,8,8,7,6,13,6,12,4
пенали,https://avrora.ua/penali/,9,11,10,6,10,11,11,11,11,8,6,14,5,13,4
шкільні пенали,https://avrora.ua/penali/,10,11,11,10,9,5,6,10,8,12,5,18,8,13,5
великі пенали,https://avrora.ua/penali/,-,-,13,10,11,-,11,10,10,12,7,15,5,22,4
дитячі пенали,https://avrora.ua/penali/,14,16,15,6,11,13,5,-,5,13,6,25,5,26,4
пенали для дівчаток,https://avrora.ua/penali-dlya-divchatok/,10,14,11,13,12,10,14,13,-,14,16,12,20,19,11
пенали для дівчат підлітків,https://avrora.ua/penali-dlya-divchatok/,37,32,13,13,14,-,13,13,13,11,16,20,19,18,13
шкільні пенали для дівчаток,https://avrora.ua/penali/,26,21,25,18,18,35,39,18,29,-,24,27,19,22,26
пенали для дівчат,https://avrora.ua/penali-dlya-divchatok/,8,44,13,14,15,14,17,16,16,17,14,13,16,12,6
дівчачі пенали,https://avrora.ua/dityachi-tovari-ta-igrashki/,-,88,30,42,38,13,15,46,45,16,15,12,23,44,69
пенали до школи для дівчат,https://avrora.ua/penali-dlya-divchatok/,21,19,12,15,13,13,14,16,15,15,17,21,30,23,10
пенали для хлопців,https://avrora.ua/penali/,-,15,14,21,20,21,21,21,22,15,10,19,10,21,12
пенали для хлопчиків,https://avrora.ua/penali/,10,10,12,22,-,23,15,18,21,15,12,15,10,22,11
шкільні пенали для хлопчиків,https://avrora.ua/penali/,25,23,22,25,26,26,15,33,33,22,17,24,20,27,20
